Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,103,7,5 Or More Visits,1,Under £50,1 Visit,Male,49
Responder,188,7,5 Or More Visits,1,Under £50,1 Visit,Male,49
Responder,94,6,5 Or More Visits,2,£100-£150,2 Visits,Male,49
Responder,109,7,5 Or More Visits,1,Under £50,1 Visit,Male,49
Responder,60,5,5 Or More Visits,3,Under £50,3 Visits,Male,50
Non-responder,189,8,5 Or More Visits,0,Under £50,No Visits,Male,50
Responder,121,6,5 Or More Visits,2,Under £50,2 Visits,Male,51
Responder,83,5,5 Or More Visits,3,£150-200,3 Visits,Male,52
Responder,191,7,5 Or More Visits,1,Under £50,1 Visit,Female,53
Responder,60,6,5 Or More Visits,2,Under £50,2 Visits,Male,53
Responder,76,7,5 Or More Visits,1,Under £50,1 Visit,Male,53
Non-responder,57,8,5 Or More Visits,0,Under £50,No Visits,Male,53
Responder,86,7,5 Or More Visits,1,Under £50,1 Visit,Male,57
Non-responder,93,8,5 Or More Visits,0,Under £50,No Visits,Male,57
Responder,177,5,5 Or More Visits,3,Under £50,3 Visits,Male,58
Non-responder,73,8,5 Or More Visits,0,Under £50,No Visits,Male,58
Responder,89,7,5 Or More Visits,1,Under £50,1 Visit,Male,59
Responder,211,6,5 Or More Visits,2,Under £50,2 Visits,Male,59
Responder,73,6,5 Or More Visits,2,Under £50,2 Visits,Male,60
Responder,71,6,5 Or More Visits,2,£50-£100,2 Visits,Male,61
Responder,94,5,5 Or More Visits,3,Under £50,3 Visits,Female,62
Responder,51,4,4 Visits,4,Under £50,4 Visits,Male,62
Responder,92,6,5 Or More Visits,2,Under £50,2 Visits,Female,63
Responder,70,5,5 Or More Visits,3,Under £50,3 Visits,Male,63
Responder,92,6,5 Or More Visits,2,Under £50,2 Visits,Male,64
Responder,58,5,5 Or More Visits,3,Under £50,3 Visits,Male,65
Non-responder,90,8,5 Or More Visits,0,Under £50,No Visits,Female,66
Responder,58,6,5 Or More Visits,2,Under £50,2 Visits,Male,67
Non-responder,107,8,5 Or More Visits,0,Under £50,No Visits,Male,67
Responder,70,6,5 Or More Visits,2,Under £50,2 Visits,Male,68
Non-responder,55,8,5 Or More Visits,0,Under £50,No Visits,Male,69
Responder,52,4,4 Visits,4,Under £50,4 Visits,Male,70
Non-responder,57,8,5 Or More Visits,0,Under £50,No Visits,Male,74
Non-responder,70,7,5 Or More Visits,0,Under £50,No Visits,Female,22
Non-responder,53,7,5 Or More Visits,0,Under £50,No Visits,Male,23
Responder,78,6,5 Or More Visits,1,Under £50,1 Visit,Female,24
Responder,54,5,5 Or More Visits,2,Under £50,2 Visits,Male,24
Responder,83,5,5 Or More Visits,2,Under £50,2 Visits,Male,25
Non-responder,59,7,5 Or More Visits,0,Under £50,No Visits,Male,25
Non-responder,64,7,5 Or More Visits,0,Under £50,No Visits,Male,25
Responder,91,6,5 Or More Visits,1,Under £50,1 Visit,Female,26
Non-responder,95,7,5 Or More Visits,0,Under £50,No Visits,Female,26
Non-responder,59,7,5 Or More Visits,0,Under £50,No Visits,Female,26
Responder,99,5,5 Or More Visits,2,Under £50,2 Visits,Female,27
Non-responder,80,7,5 Or More Visits,0,Under £50,No Visits,Male,27
Non-responder,78,7,5 Or More Visits,0,Under £50,No Visits,Male,27
Responder,98,4,4 Visits,3,Under £50,3 Visits,Male,28
Non-responder,55,7,5 Or More Visits,0,Under £50,No Visits,Male,28
Non-responder,101,7,5 Or More Visits,0,Under £50,No Visits,Male,29
Non-responder,69,7,5 Or More Visits,0,Under £50,No Visits,Male,29
Responder,154,5,5 Or More Visits,2,Under £50,2 Visits,Male,30
Responder,67,5,5 Or More Visits,2,Under £50,2 Visits,Male,31
Non-responder,111,7,5 Or More Visits,0,Under £50,No Visits,Female,32
Responder,88,3,3 Visits,4,Under £50,4 Visits,Male,32
Responder,86,6,5 Or More Visits,1,Under £50,1 Visit,Male,32
Non-responder,74,7,5 Or More Visits,0,Under £50,No Visits,Male,32
Responder,74,5,5 Or More Visits,2,Under £50,2 Visits,Female,33
Responder,53,4,4 Visits,3,Under £50,3 Visits,Female,34
Non-responder,84,7,5 Or More Visits,0,Under £50,No Visits,Female,34
Responder,97,6,5 Or More Visits,1,Under £50,1 Visit,Male,34
Responder,70,6,5 Or More Visits,1,Under £50,1 Visit,Female,35
Responder,53,3,3 Visits,4,Under £50,4 Visits,Male,35
Responder,57,6,5 Or More Visits,1,Under £50,1 Visit,Male,35
Non-responder,60,7,5 Or More Visits,0,Under £50,No Visits,Male,35
